continent,region,country,pop2018,cbr,cdr,rate_inc,netmig,projpop2030,projpop2050,imr,tfr,gnigdp,pcturban,popdens,pctwomcontra_all,pctwomcontra_mod,pctmalehiv,pctfemhiv,e0male,e0female,e65male,e65female,pctlt15_2018,pctlt15_2050,pct65p_2018,pct65p_2050
ASIA,WESTERN ASIA,Kuwait,4.2,14,2,1.3,15,4.9,5.6,8,1.5,83310,100,54508.0,,,0.1,0.1,74,76,14,14,21,17,2,16
ASIA,CENTRAL ASIA,Kyrgyzstan,6.1,26,6,2.1,-1,7,8.1,17,3.1,3620,34,479.0,42,40,0.3,0.1,67,75,13,16,32,24,5,11
ASIA,SOUTHEAST ASIA,Laos,7,24,7,1.7,-3,8,9.2,42,2.7,6650,35,456.0,50,43,0.3,0.3,65,68,13,14,33,20,4,11
EUROPE,NORTHERN EUROPE,Latvia,1.9,11,15,-0.4,-8,1.7,1.5,4.1,1.7,27400,68,156.0,,,,,70,79,14,19,16,15,20,28
ASIA,WESTERN ASIA,Lebanon,6.1,14,5,0.9,-1,5.5,5.6,7,1.7,14690,89,4621.0,55,47,0.1,0.1,77,79,17,20,24,14,7,23
AFRICA,SOUTHERN AFRICA,Lesotho,2.3,29,13,1.6,-2,2.6,3.2,59,3.3,3510,28,831.0,60,60,18.7,29,52,56,12,13,36,27,5,6
AFRICA,WESTERN AFRICA,Liberia,4.9,33,8,2.5,-1,6.5,9.8,50,4.2,710,51,971.0,31,31,1,1.8,62,64,12,13,42,32,3,5
AFRICA,NORTHERN AFRICA,Libya,6.5,20,5,1.4,-4,7.3,8.1,22,2.3,19940,80,376.0,42,20,,,69,75,13,16,28,18,4,17
EUROPE,WESTERN EUROPE,Liechtenstein,0,10,7,0.3,5,0,0,4.2,1.6,,14,1771.0,,,,,81,84,,,15,,17,
EUROPE,NORTHERN EUROPE,Lithuania,2.8,10,14,-0.4,-10,2.7,2.4,4.5,1.6,31030,67,128.0,63,50,0.2,0.1,69,80,14,19,15,15,19,26
EUROPE,WESTERN EUROPE,Luxembourg,0.6,10,7,0.3,18,0.7,0.8,3.3,1.4,72640,91,968.0,,,0.4,0.1,80,84,19,22,16,16,14,23
EUROPE,SOUTHERN EUROPE,Macedoniag,2.1,11,10,0.1,1,2.1,1.9,9,1.4,14590,58,500.0,40,13,0.1,0.1,73,78,15,16,17,14,14,25
AFRICA,EASTERN AFRICA,Madagascar,26.3,32,6,2.6,0,35.6,53.8,32,4.1,1510,37,750.0,40,33,0.4,0.2,64,68,13,14,41,32,3,6
AFRICA,EASTERN AFRICA,Malawi,19.1,34,7,2.6,-1,25.6,37.4,42,4.2,1180,17,502.0,59,58,7.4,11.7,61,66,14,15,44,32,3,5
ASIA,SOUTHEAST ASIA,Malaysia,32.5,16,5,1.1,2,36.8,41.7,7,1.9,28650,75,3404.0,52,34,0.7,0.2,73,77,15,17,24,17,6,16
ASIA,SOUTH ASIA,Maldives,0.4,20,3,1.7,6,0.5,0.6,8,2.4,15350,39,10978.0,35,27,,,76,78,16,17,23,15,4,19
AFRICA,WESTERN AFRICA,Mali,19.4,45,10,3.5,-4,27.5,44.8,56,6,2160,42,303.0,16,15,0.9,1.6,58,62,12,12,47,36,2,4
EUROPE,SOUTHERN EUROPE,Malta,0.5,10,7,0.3,19,0.5,0.5,7.4,1.4,36740,95,5188.0,,,,,81,84,18,20,14,13,19,29
OCEANIA,OCEANIA,Marshall Islands,0.1,27,4,2.3,-18,0.1,0.1,22,4.1,5560,77,2754.0,45,42,,,71,73,,,41,,3,
NORTHERN AMERICA,CARIBBEAN,Martinique,0.4,9,9,0,-9,0.4,0.3,7,1.7,,89,3329.0,,,,,78,84,19,23,17,15,20,32
AFRICA,WESTERN AFRICA,Mauritania,4.5,34,8,2.6,1,6.1,9,65,4.6,3900,54,1009.0,18,16,0.4,0.3,62,65,12,13,40,32,3,6
AFRICA,EASTERN AFRICA,Mauritius,1.3,11,8,0.3,-1,1.3,1.2,11.8,1.4,22570,41,1710.0,64,32,,,71,78,15,19,19,14,11,24
AFRICA,EASTERN AFRICA,Mayotte,0.3,39,3,3.6,0,0.4,0.6,4,5.1,,46,2970.0,,,,,74,77,18,22,44,27,3,10
